extracurricularactivities,skills,location,yearofstudy,subjects,gpa,languages,clubmemberships,interestarea,gender
Debate Club,Problem Solving,Andhra Pradesh,Freshman,Psychology,6.54,"Chinese, Japanese, Spanish, German, French","Music Club, Art Club, Sports Team, Debate Club, Coding Club",Computer science,Male
Debate Club,"Leadership, Problem Solving, Public Speaking, Data Analysis, Programming",Arunachal Pradesh,Graduate,Physics,6.34,"French, English, Chinese, Spanish, Japanese","Art Club, Music Club, Sports Team, Coding Club",History,Female
Volunteer Group,"Data Analysis, Leadership, Public Speaking, Artistic, Problem Solving",Assam,Junior,Biology,4.18,"Spanish, Japanese, German, French","Music Club, Art Club, Debate Club, Volunteer Group, Coding Club, Sports Team",Biology,Male
Volunteer Group,"Public Speaking, Data Analysis, Problem Solving",Andaman & Nicobar Islands,Graduate,Biology,5.12,"Japanese, Chinese, Spanish, French","Sports Team, Volunteer Group",Computer science,Male
Sports Team,Data Analysis,Chandigarh,Graduate,Computer Science,4.02,English,"Sports Team, Volunteer Group, Music Club",Biology,Male
Debate Club,"Public Speaking, Artistic",Dadra & Nagar Haveli and Daman & Diu,Junior,History,5.98,Japanese,"Art Club, Coding Club, Volunteer Group",Mathematics,Female
Art Club,"Public Speaking, Problem Solving, Data Analysis, Artistic",Delhi,Senior,Psychology,6.7,"Chinese, English, Spanish, German","Music Club, Debate Club, Sports Team",Computer science,Male
Volunteer Group,"Programming, Public Speaking, Artistic, Leadership",Jammu & Kashmir,Junior,Psychology,7.28,"Chinese, Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group",Computer science,Male
Sports Team,"Leadership, Artistic, Problem Solving, Public Speaking, Programming, Data Analysis",Ladakh,Senior,Mathematics,5.94,"German, English, Japanese, Chinese",Music Club,Computer science,Male
Sports Team,"Programming, Data Analysis, Problem Solving, Leadership",Lakshadweep,Junior,History,6.06,"Chinese, German, Spanish","Coding Club, Volunteer Group, Music Club",Computer science,Female
Sports Team,"Programming, Leadership, Artistic, Data Analysis",Puducherry,Freshman,Psychology,6.04,"German, English, Spanish, French","Coding Club, Sports Team, Art Club",Computer science,Male
Coding Club,"Public Speaking, Programming, Problem Solving, Leadership",Bihar,Freshman,Biology,7.92,German,"Sports Team, Debate Club",Mathematics,Male
Music Club,"Programming, Artistic, Problem Solving",Chhattisgarh,Junior,Mathematics,5.96,"English, Japanese, Chinese, Spanish, German, French","Debate Club, Volunteer Group, Music Club, Art Club, Sports Team",History,Male
Sports Team,"Artistic, Problem Solving, Programming",Goa,Freshman,Biology,4.96,Japanese,"Art Club, Debate Club, Music Club",History,Male
Music Club,"Artistic, Problem Solving, Public Speaking, Data Analysis",Gujarat,Senior,Computer Science,5.08,German,"Sports Team, Coding Club, Music Club, Debate Club, Volunteer Group",Computer science,Female
Debate Club,"Artistic, Programming, Leadership",Haryana,Freshman,Computer Science,5.0,English,"Coding Club, Debate Club, Music Club, Sports Team, Art Club",Biology,Male
Music Club,"Data Analysis, Programming, Problem Solving, Public Speaking, Leadership, Artistic",Himachal Pradesh,Junior,Physics,6.0,"Chinese, Japanese, English","Volunteer Group, Debate Club, Art Club, Music Club",Mathematics,Female
Volunteer Group,"Data Analysis, Problem Solving, Public Speaking",Jharkhand,Sophomore,Computer Science,7.82,Japanese,"Volunteer Group, Sports Team, Art Club, Coding Club",Mathematics,Female
Coding Club,"Programming, Artistic, Public Speaking, Data Analysis, Leadership, Problem Solving",Karnataka,Freshman,Biology,4.88,"English, German","Debate Club, Sports Team, Art Club, Coding Club",Biology,Female
Debate Club,"Public Speaking, Leadership, Artistic, Data Analysis, Problem Solving, Programming",Kerala,Sophomore,History,7.28,"Chinese, German, Spanish, English, French, Japanese",Debate Club,Computer science,Male
Coding Club,"Programming, Public Speaking, Data Analysis, Leadership, Problem Solving",Madhya Pradesh,Freshman,Mathematics,4.72,"German, Chinese, French","Art Club, Volunteer Group, Debate Club",History,Female
Sports Team,"Problem Solving, Data Analysis, Leadership, Artistic",Maharashtra,Junior,Psychology,7.6,"Spanish, English","Art Club, Music Club",Computer science,Male
Volunteer Group,"Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",Manipur,Graduate,Mathematics,7.62,"Chinese, English, German, French, Japanese, Spanish","Coding Club, Art Club",Computer science,Female
Music Club,"Public Speaking, Data Analysis, Artistic",Meghalaya,Sophomore,Physics,6.24,"Chinese, English, Japanese, French, Spanish","Debate Club, Art Club, Coding Club, Music Club",Biology,Female
Coding Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Leadership, Programming",Mizoram,Junior,Physics,5.58,"English, Spanish, Japanese, French, Chinese, German","Debate Club, Sports Team, Music Club, Coding Club, Art Club",Mathematics,Female
Debate Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",Nagaland,Junior,Physics,5.54,"Japanese, Chinese, Spanish","Sports Team, Art Club, Music Club, Debate Club",History,Female
Sports Team,"Problem Solving, Artistic, Data Analysis, Programming, Leadership, Public Speaking",Odisha,Senior,History,6.84,English,"Sports Team, Volunteer Group, Debate Club, Art Club, Coding Club, Music Club",Mathematics,Female
Volunteer Group,"Programming, Data Analysis",Punjab,Graduate,Biology,6.54,Spanish,Sports Team,Mathematics,Female
Art Club,"Data Analysis, Leadership",Rajasthan,Junior,Psychology,5.82,Chinese,Music Club,Computer science,Female
Music Club,"Data Analysis, Public Speaking",Sikkim,Senior,History,5.92,"Chinese, Japanese, French, English, Spanish","Debate Club, Art Club, Music Club, Coding Club, Volunteer Group",Computer science,Female
Debate Club,"Artistic, Programming, Public Speaking, Problem Solving, Data Analysis",Tamil Nadu,Sophomore,Biology,4.52,"English, Chinese, Spanish","Art Club, Sports Team, Volunteer Group, Coding Club, Music Club, Debate Club",History,Male
Volunteer Group,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic",Telangana,Graduate,Computer Science,6.02,"Chinese, French, Spanish","Debate Club, Coding Club, Art Club, Music Club",History,Male
Debate Club,"Public Speaking, Programming",Tripura,Senior,Computer Science,5.66,"German, Japanese, Chinese, French","Coding Club, Sports Team, Art Club, Music Club",History,Female
Volunteer Group,"Data Analysis, Programming, Public Speaking",Uttar Pradesh,Sophomore,History,4.38,"English, German","Debate Club, Volunteer Group, Sports Team, Coding Club, Art Club, Music Club",Biology,Female
Art Club,Data Analysis,Uttarakhand,Junior,Physics,6.2,"German, English, Spanish, French, Chinese, Japanese",Volunteer Group,Computer science,Female
Music Club,"Leadership, Programming, Problem Solving",West Bengal,Senior,Psychology,6.24,"Spanish, German, Japanese, English, French","Art Club, Debate Club",Biology,Male
Sports Team,"Data Analysis, Public Speaking, Programming, Artistic, Problem Solving",Andhra Pradesh,Sophomore,History,6.92,"German, Chinese, English, French",Art Club,Biology,Female
Volunteer Group,"Artistic, Public Speaking, Data Analysis, Leadership, Programming, Problem Solving",Arunachal Pradesh,Sophomore,Computer Science,7.34,German,"Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Mathematics,Male
Sports Team,"Programming, Public Speaking, Data Analysis, Problem Solving",Assam,Freshman,Mathematics,6.48,German,"Debate Club, Art Club",Computer science,Male
Coding Club,"Data Analysis, Leadership, Programming",Andaman & Nicobar Islands,Senior,Mathematics,5.02,"English, Spanish","Coding Club, Music Club",History,Male
Music Club,"Programming, Artistic, Public Speaking, Leadership",Chandigarh,Senior,Psychology,4.84,"English, Chinese, Spanish, French, Japanese, German","Coding Club, Music Club, Art Club, Volunteer Group, Sports Team, Debate Club",History,Male
Art Club,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",Dadra & Nagar Haveli and Daman & Diu,Freshman,Mathematics,5.3,German,"Music Club, Debate Club, Volunteer Group",History,Male
Sports Team,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership",Delhi,Sophomore,Mathematics,7.54,"Chinese, Spanish, English","Art Club, Debate Club, Volunteer Group, Sports Team",Computer science,Female
Volunteer Group,"Data Analysis, Artistic, Leadership, Programming, Problem Solving",Jammu & Kashmir,Freshman,Psychology,5.44,"Spanish, Chinese, Japanese","Coding Club, Sports Team",Mathematics,Female
Sports Team,Problem Solving,Ladakh,Freshman,History,7.36,"French, English",Coding Club,Mathematics,Female
Sports Team,Artistic,Lakshadweep,Junior,Mathematics,6.24,German,Art Club,Mathematics,Female
Sports Team,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Puducherry,Sophomore,Biology,5.8,"German, English",Sports Team,Mathematics,Female
Music Club,"Artistic, Programming, Problem Solving",Bihar,Sophomore,History,4.22,"German, Japanese","Sports Team, Art Club",History,Male
Music Club,"Leadership, Public Speaking, Programming, Data Analysis, Artistic, Problem Solving",Chhattisgarh,Freshman,Psychology,7.98,"English, German, Chinese, Spanish, Japanese",Music Club,Mathematics,Female
Sports Team,"Leadership, Public Speaking",Goa,Senior,History,5.28,"Spanish, French, Japanese, German","Art Club, Coding Club, Volunteer Group, Music Club, Sports Team",History,Female
Debate Club,"Data Analysis, Artistic, Leadership, Public Speaking, Problem Solving, Programming",Gujarat,Senior,Computer Science,4.34,"Spanish, English, French, Japanese, German, Chinese","Music Club, Debate Club, Sports Team, Volunteer Group",History,Male
Sports Team,Public Speaking,Haryana,Graduate,Mathematics,4.22,"French, English, Chinese, Japanese, German, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Coding Club",History,Female
Sports Team,"Public Speaking, Leadership, Programming, Data Analysis",Himachal Pradesh,Senior,Mathematics,4.52,"Japanese, Chinese","Volunteer Group, Sports Team, Coding Club",History,Male
Sports Team,"Programming, Public Speaking",Jharkhand,Senior,Biology,4.26,"French, Japanese, German","Coding Club, Sports Team, Volunteer Group",History,Female
Music Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",Karnataka,Senior,Computer Science,7.5,"English, German, Spanish, Japanese","Music Club, Debate Club, Volunteer Group",Computer science,Male
Music Club,"Leadership, Programming, Artistic, Public Speaking",Kerala,Graduate,Mathematics,7.1,"French, German","Art Club, Debate Club, Sports Team, Music Club, Volunteer Group",Mathematics,Female
Sports Team,"Problem Solving, Artistic, Programming, Leadership, Public Speaking",Madhya Pradesh,Junior,Mathematics,4.88,"English, Japanese, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Art Club, Coding Club",Biology,Female
Volunteer Group,"Artistic, Leadership",Maharashtra,Senior,History,6.46,"Japanese, Spanish, English, French","Debate Club, Art Club, Coding Club, Volunteer Group, Music Club",History,Male
Art Club,"Problem Solving, Leadership, Artistic, Programming, Public Speaking, Data Analysis",Manipur,Senior,Psychology,7.48,"German, Chinese, English",Art Club,Computer science,Male
Sports Team,"Leadership, Public Speaking, Programming",Meghalaya,Junior,Biology,4.84,Japanese,"Music Club, Volunteer Group, Coding Club, Art Club",Biology,Male
Sports Team,Data Analysis,Mizoram,Freshman,Physics,7.24,"French, Chinese, German, English",Coding Club,Computer science,Male
Volunteer Group,"Public Speaking, Programming, Leadership, Problem Solving, Artistic, Data Analysis",Nagaland,Junior,History,5.66,Spanish,"Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team",History,Male
Sports Team,"Leadership, Artistic, Data Analysis",Odisha,Junior,Physics,7.26,"Spanish, German, Chinese, Japanese","Sports Team, Debate Club, Volunteer Group, Music Club, Coding Club",Mathematics,Male
Debate Club,"Data Analysis, Artistic, Leadership, Programming, Problem Solving, Public Speaking",Punjab,Graduate,Computer Science,6.28,"Japanese, French, German, Chinese, English, Spanish","Art Club, Coding Club",Biology,Male
